Ciudad,Departamento,Latitud,Longitud,Radio,Monogramas,Tweets,Vocabulario,Usuarios
Pinillos,Bolivar,"8,920686","-74,475460",7,7268,636,1980,94
Pital,Huila,"2,266754","-75,812624",7,269381,28144,23782,1673
Pitalito,Huila,"1,853066","-76,090025",7,365647,35192,29343,2714
Pivijay,Magdalena,"10,463119","-74,625650",7,380413,37439,29041,2536
Planadas,Tolima,"3,197252","-75,648206",7,22306,2234,5154,566
Planeta Rica,Córdoba,"8,402199","-75,600966",7,123438,11796,15614,1314
Plato,Magdalena,"9,792396","-74,803993",7,227216,22477,22056,2368
Ponedera,Atlantico,"10,641793","-74,762057",7,55476,5681,9339,899
Popayán,Cauca,"2,457470","-76,634954",15,2088230,205299,83315,8745
Providencia,San Andres,"13,353248","-81,407792",7,13837,1377,3384,401
Puerto Asis,Putumayo,"0,504951","-76,508967",7,40869,3743,8122,727
Puerto Berrío,Antioquia,"6,477797","-74,426353",7,34936,3175,6922,857
Puerto Boyaca,Boyaca,"5,974335","-74,601767",7,82288,7808,12425,2338
Puerto Carreño,Vichada,"6,184808","-67,506015",7,11607,1034,3246,309
Puerto Gaitán,Meta,"4,312998","-72,092350",7,42770,3988,7946,1035
Puerto Inírida,Guainia,"3,868319","-67,932693",7,13095,1198,3550,254
Puerto Libertador,Córdoba,"7,887865","-75,674094",7,43778,3729,8156,629
Puerto López,Meta,"4,091439","-72,991024",7,62990,6682,9896,1251
Puerto Rico,Caquetá,"1,911005","-75,163845",7,8962,913,2571,177
Puerto Santander,Norte de Santander,"8,363201","-72,407722",7,67227,5832,11133,769
Puerto Tejada,Cauca,"3,220633","-76,433018",7,485667,44788,37018,4900
Purificación,Tolima,"3,859786","-74,934909",7,101701,10940,13197,1517
Quibdó,Chocó,"5,694722","-76,661111",15,1567367,162229,71902,3848
Ráquira,Boyacá,"5,538311","-73,636542",7,263713,25193,23753,6783
Repelón,Atlantico,"10,494045","-75,128853",7,28806,2888,6300,648
Rioblanco,Tolima,"3,530929","-75,685735",7,10343,1035,3023,302
Ríohacha,La Guajira,"11,544444","-72,907222",15,2382099,223025,89652,9560
Rionegro,Antioquia,"6,144879","-75,392638",7,7123007,633466,182138,44795
Riosucio,Caldas,"5,424322","-75,712111",7,123841,11624,10931,1496
